order_date,product_id,product_name,category,quantity_sold,revenue
2023-09-28,2635,Monday Workshop,Sem categoria,2,493.48
2023-11-14,3606,HUMAN BY DESIGN,ONLINE COURSE,1,399.0
2023-11-14,6383,Inner Alchemy,ONLINE COURSE,1,152.0
2023-11-22,2632,TCCHE SAN DIEGO  - Standard Bundle,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,499.0
2023-11-22,6626,THE HONEYMOON EFFECT - Early Bird,EVENTS|UK - THE HONEYMOON EFFECT - 2024,3,252.0
2023-11-23,2631,TCCHE SAN DIEGO - Standard,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,349.0
2023-11-23,2634,TCCHE SAN DIEGO - VIP Bundle,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,1099.0
2023-11-23,3606,HUMAN BY DESIGN,ONLINE COURSE,1,0.0
2023-11-23,6558,TCCHE SAN DIEGO - Monday Workshop,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,229.0
2023-11-23,6626,THE HONEYMOON EFFECT - Early Bird,EVENTS|UK - THE HONEYMOON EFFECT - 2024,1,84.0
2023-11-24,2632,TCCHE SAN DIEGO  - Standard Bundle,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,499.0
2023-11-24,2636,TCCHE SAN DIEGO - Livestream,LIVESTREAM|US - CONFERENCE - SAN DIEGO - 2024,1,149.0
2023-11-24,6626,THE HONEYMOON EFFECT - Early Bird,EVENTS|UK - THE HONEYMOON EFFECT - 2024,2,168.0
2023-11-25,2631,TCCHE SAN DIEGO - Standard,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,349.0
2023-11-25,2632,TCCHE SAN DIEGO  - Standard Bundle,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,2,998.0
2023-11-25,6558,TCCHE SAN DIEGO - Monday Workshop,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,229.0
2023-11-25,6626,THE HONEYMOON EFFECT - Early Bird,EVENTS|UK - THE HONEYMOON EFFECT - 2024,6,504.0
2023-11-26,2631,TCCHE SAN DIEGO - Standard,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,4,1396.0
2023-11-26,2636,TCCHE SAN DIEGO - Livestream,LIVESTREAM|US - CONFERENCE - SAN DIEGO - 2024,1,149.0
2023-11-26,6558,TCCHE SAN DIEGO - Monday Workshop,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,229.0
2023-11-26,6626,THE HONEYMOON EFFECT - Early Bird,EVENTS|UK - THE HONEYMOON EFFECT - 2024,11,924.0
2023-11-27,2631,TCCHE SAN DIEGO - Standard,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,1,349.0
2023-11-28,2631,TCCHE SAN DIEGO - Standard,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,9,3141.0
2023-11-28,2632,TCCHE SAN DIEGO  - Standard Bundle,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,2,998.0
2023-11-28,6626,THE HONEYMOON EFFECT - Early Bird,EVENTS|UK - THE HONEYMOON EFFECT - 2024,3,297.0
2023-11-29,2631,TCCHE SAN DIEGO - Standard,EVENTS|US - CONFERENCE - SAN DIEGO - 2024,2,698.0
